state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
FI,Northern Ostrobothnia,2020-02-16,5.143,,-0.011,6.93,3.36,-2.212
FI,Northern Ostrobothnia,2020-02-17,6.858,,0.441,9.096,5.901,0.595
FI,Northern Ostrobothnia,2020-02-18,4.169,,1.078,8.085,2.058,0.887
FI,Northern Ostrobothnia,2020-02-19,2.698,,0.627,8.548,1.77,
FI,Northern Ostrobothnia,2020-02-20,3.58,,0.814,3.109,0.242,0.085
FI,Northern Ostrobothnia,2020-02-21,5.022,,1.867,8.353,6.36,0.228
FI,Northern Ostrobothnia,2020-02-22,9.24,,0.05,16.423,14.881,1.674
FI,Northern Ostrobothnia,2020-02-23,8.91,,-0.463,12.311,10.692,-0.221
FI,Northern Ostrobothnia,2020-02-24,4.924,,0.863,6.105,3.849,0.085
FI,Northern Ostrobothnia,2020-02-25,5.598,,0.791,8.263,8.745,-1.098
FI,Northern Ostrobothnia,2020-02-26,5.748,,0.67,12.366,4.804,0.085
FI,Northern Ostrobothnia,2020-02-27,5.228,,0.486,8.726,4.36,-1.24
FI,Northern Ostrobothnia,2020-02-28,5.529,,0.629,10.363,10.307,-2.369
FI,Northern Ostrobothnia,2020-02-29,4.351,,-2.293,8.653,16.498,-2.232
FI,Northern Ostrobothnia,2020-03-01,0.507,,-0.981,2.138,-1.222,-4.866
FI,Northern Ostrobothnia,2020-03-02,3.517,,3.078,11.401,-8.21,-43.102
FI,Northern Ostrobothnia,2020-03-03,-1.37,,2.566,7.377,-12.86,-44.015
FI,Northern Ostrobothnia,2020-03-04,0.528,,2.31,5.129,-13.147,-45.018
FI,Northern Ostrobothnia,2020-03-05,-0.568,,3.781,0.709,-15.988,-46.206
FI,Northern Ostrobothnia,2020-03-06,-6.404,,5.09,-4.333,-14.693,-46.843
FI,Northern Ostrobothnia,2020-03-07,-0.43,,-3.733,-3.629,4.205,-9.115
FI,Northern Ostrobothnia,2020-03-08,6.447,,-2.742,1.474,2.749,-2.433
FI,Northern Ostrobothnia,2020-03-09,3.81,,0.671,1.62,1.796,-1.444
FI,Northern Ostrobothnia,2020-03-10,1.072,,0.803,3.895,0.514,-2.154
FI,Northern Ostrobothnia,2020-03-11,2.815,,0.997,3.419,-1.517,-3.089
FI,Northern Ostrobothnia,2020-03-12,11.991,,1.457,-2.072,-5.572,-3.548
FI,Northern Ostrobothnia,2020-03-13,12.301,,6.668,-11.569,-20.175,-11.118
FI,Northern Ostrobothnia,2020-03-14,-2.417,,4.755,-21.773,-14.234,-11.161
FI,Northern Ostrobothnia,2020-03-15,-10.648,,5.53,-23.738,-31.158,-10.837
FI,Northern Ostrobothnia,2020-03-16,3.224,,8.391,-14.952,-28.736,-24.545
FI,Northern Ostrobothnia,2020-03-17,-2.263,,12.775,-28.978,-40.123,-34.849
FI,Northern Ostrobothnia,2020-03-18,-10.557,,14.477,-32.994,-43.487,-45.948
FI,Northern Ostrobothnia,2020-03-19,-13.752,,15.135,-37.358,-46.512,-47.617
FI,Northern Ostrobothnia,2020-03-20,-15.572,,17.067,-39.353,-48.026,-47.527
FI,Northern Ostrobothnia,2020-03-21,-15.203,,7.284,-45.779,-33.32,-21.949
FI,Northern Ostrobothnia,2020-03-22,-19.631,,7.505,-47.181,-51.625,-22.78
FI,Northern Ostrobothnia,2020-03-23,-18.172,,14.851,-39.499,-48.235,-49.896
