state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
MY,Overall,2020-02-23,-5.939,0.322,1.345,-6.104,-1.139,0.424
MY,Overall,2020-02-24,-3.791,-4.927,1.664,-3.879,-5.841,2.017
MY,Overall,2020-02-25,-3.707,-4.003,0.983,-3.68,-7.611,2.609
MY,Overall,2020-02-26,-3.783,-3.593,1.281,-3.771,-6.893,2.526
MY,Overall,2020-02-27,-3.457,-2.891,1.502,-2.539,-4.319,2.848
MY,Overall,2020-02-28,-0.563,-1.0,0.611,0.432,,5.972
MY,Overall,2020-02-29,0.644,5.523,-0.307,2.586,3.135,2.203
MY,Overall,2020-03-01,1.193,3.568,-0.206,0.419,3.814,0.469
MY,Overall,2020-03-02,0.048,-3.696,1.068,-1.491,-3.69,2.499
MY,Overall,2020-03-03,-1.786,-6.548,0.726,-2.855,-7.631,3.368
MY,Overall,2020-03-04,1.095,-3.487,1.565,-2.313,-6.672,1.947
MY,Overall,2020-03-05,-2.971,-6.677,1.584,-3.171,-5.821,2.028
MY,Overall,2020-03-06,-0.34,-4.148,1.475,-2.067,-4.664,5.897
MY,Overall,2020-03-07,1.366,-1.512,1.378,-1.808,-3.884,1.729
MY,Overall,2020-03-08,1.5,2.429,0.715,-1.869,-1.029,0.814
MY,Overall,2020-03-09,-0.248,-4.284,1.399,-3.308,-7.325,1.922
MY,Overall,2020-03-10,-2.275,-6.647,1.075,-4.593,-10.028,2.182
MY,Overall,2020-03-11,-1.096,-6.967,1.701,-5.067,-9.542,1.724
MY,Overall,2020-03-12,-1.589,-6.408,1.706,-5.667,-6.847,1.639
MY,Overall,2020-03-13,1.475,-4.642,1.356,-5.363,-2.332,3.919
MY,Overall,2020-03-14,-1.021,0.156,2.08,-8.912,-0.587,-2.873
MY,Overall,2020-03-15,-2.655,6.099,1.704,-10.316,-1.68,-8.791
MY,Overall,2020-03-16,24.562,7.258,2.416,-3.121,-4.079,-11.446
MY,Overall,2020-03-17,29.912,-5.035,0.922,-5.403,2.855,-11.509
MY,Overall,2020-03-18,-13.582,-31.553,23.291,-56.303,-36.181,-49.77
MY,Overall,2020-03-19,-24.486,-44.841,30.151,-66.669,-58.254,-56.012
MY,Overall,2020-03-20,-30.259,-55.666,34.856,-72.123,-70.632,-59.151
MY,Overall,2020-03-21,-38.982,-65.375,32.443,-76.976,-75.063,-54.838
MY,Overall,2020-03-22,-61.643,-68.452,31.421,-83.381,-81.503,-54.843
MY,Overall,2020-03-23,-49.242,-57.261,38.231,-78.585,-78.301,-68.736
MY,Overall,2020-03-24,-47.186,-56.988,37.046,-77.678,-78.104,-67.82
MY,Overall,2020-03-25,-41.792,-56.018,37.472,-75.901,-77.446,-67.427
MY,Overall,2020-03-26,-42.647,-57.162,38.303,-75.678,-77.595,-66.639
MY,Overall,2020-03-27,-42.845,-61.706,39.048,-76.603,-80.043,-63.921
MY,Overall,2020-03-28,-51.703,-68.207,35.116,-79.891,-81.102,-56.315
MY,Overall,2020-03-29,-57.928,-67.716,30.811,-81.321,-82.921,-52.023
MY,Overall,2020-03-30,-45.887,-57.363,36.907,-76.178,-79.283,-65.536
MY,Overall,2020-03-31,-44.653,-56.889,35.601,-75.628,-78.132,-65.195
MY,Overall,2020-04-01,-47.692,-56.668,36.474,-76.768,-78.843,-64.633
MY,Overall,2020-04-02,-47.822,-57.708,38.609,-77.056,-79.542,-65.399
MY,Overall,2020-04-03,-48.613,-62.476,39.758,-78.212,-82.102,-62.793
MY,Overall,2020-04-04,-54.738,-68.661,35.629,-80.885,-82.644,-55.07
MY,Overall,2020-04-05,-58.344,-68.226,31.295,-81.526,-83.774,-51.216
